document,quotation,codes,comment
0029 [M] Master of Engineering in Big Data.docx,"
DSCI 6051: Data Science Capstone Project
",Courses,
0030 [M] Master of Science in Data Analytics.docx,"
HIM 523: Healthcare Information Analysis 3 Semester Credit Hours

HIM 530: Leadership in Healthcare 3 Semester Credit Hours

HIM 599: Capstone Project 3 Semester Credit Hours
",Courses,
0030 [M] Master of Science in Data Analytics.docx,"
Requirements for the Master of Health Informatics degree include a minimum of 45 semester hours of graduate credit including the following courses:
",Requirements,
0030 [M] Master of Science in Data Analytics.docx,"
HIM 500: Healthcare Compliance 3 Semester Credit Hours

HIM 501: Healthcare Inform Network Sys 3 Semester Credit Hours

HIM 502: Database Architecture 3 Semester Credit Hours

HIM 503: Medical Vocab and Class Systems 3 Semester Credit Hours

HIM 505: Health Informatics Advanced Statistical Methods 3 Semester Credit Hours

HIM 510: Intro to Health Informatics 3 Semester Credit Hours

HIM 511: Project Management 3 Semester Credit Hours

HIM 513: Evaluation of Information System 3 Semester Credit Hours

HIM 521: EHR Infrastructure 3 Semester Credit Hours

HIM 522: Computerized Decision Support 3 Semester Credit Hours


",Courses,
0030 [M] Master of Science in Data Analytics.docx,"
Study of concepts related to decision making and decision contexts. Exploration of technology support for decision making with study of purposes, architecture development and implementation.
",Skills,
0030 [M] Master of Science in Data Analytics.docx,"
The mission of the Department is to provide a superior educational experience.
",Mission,
0030 [M] Master of Science in Data Analytics.docx,"
The mission of the Master of Health Informatics program is to prepare confident, innovative, and contributing professionals who can identify and use a variety of information systems, resources, and technologies to accomplish the informatics and information management objectives of diverse healthcare practice environments.


","Skills, Mission, Broader impact",
0030 [M] Master of Science in Data Analytics.docx,"
We empower students to excel in the HIIM profession and to support the community and industry by striving for excellence in teaching, research, and service.
",Impact,
0030 [M] Master of Science in Data Analytics.docx,"
. Our graduates will be prepared to improve the delivery of health care by using technology to manage all aspects of health data collection, use, and dissemination.
",Impact,
0031 [M] Master of Science in Health and Life Science Analytics.docx,"
tudents are prepared with programming skills in Python needed to transform messy web data into clean data and the knowledge to apply sophisticated statistical modeling using R, to address any data-driven problem.
","Skills, Tools",
0031 [M] Master of Science in Health and Life Science Analytics.docx,"
Leveraging Loyola's Jesuit background, the program also provides students the opportunity to examine the ethical implications of the work they will do as a data scientist.
","Ethical issues, [!!]",
0031 [M] Master of Science in Health and Life Science Analytics.docx,"
As part of the program, Loyola’s strong commitment to social justice encourages students to engage with nonprofits.
",Ethical issues,
0031 [M] Master of Science in Health and Life Science Analytics.docx,"
Loyola’s Master's in Data Science offers students a thorough data science educational experience through a 31-34 credit program
",Requirements,
0031 [M] Master of Science in Health and Life Science Analytics.docx,"
This degree blends computer science and statistics courses with business courses graduating students with rigorous statistical and computational skills adaptable to any domain
",Interdisciplinary,
0031 [M] Master of Science in Health and Life Science Analytics.docx,"
Students are prepared with programming skills in Python needed to transform messy web data into clean data and the knowledge to apply sophisticated statistical modeling using R, to address any data-driven problem
","Tools, Skills",
0031 [M] Master of Science in Health and Life Science Analytics.docx,"
Leveraging Loyola's Jesuit background, the program also provides students the opportunity to examine the ethical implications of the work they will do as a data scientist
",Ethical issues,
0031 [M] Master of Science in Health and Life Science Analytics.docx,"
Core

CS701 Introduction to Programming (waiveable)

CS703 Programming for Data Science (taught by CS faculty) (Placement or CS701)

ST710 Statistical Computing (taught by Statistics faculty)

DS730 Introduction to Data Science (taught by IS faculty)

DS851 Business Intelligence and Data Mining (taught by IS faculty) (DS730 or permission of instructor)

ST765 Linear Statistical Models (ST710)
",Courses,
0031 [M] Master of Science in Health and Life Science Analytics.docx,"
Additional Required Courses

CS737 Machine Learning (for technical specialization) (CS703)

DS795/796 Data Science Project
",Courses,
0031 [M] Master of Science in Health and Life Science Analytics.docx,"
Computer Science Elective Courses

CS745 Multimedia data analysis and mining (CS737, ST710)

CS746 Data Visualization (CS703, ST710)

CS750 Special Topics in Computer Science

CS751 Independent Study

CS765 Database Retrieval (CS703)

CS766 Information Retrieval and Natural Language Processing (CS737)

Statistics Elective Courses

ST767 Multivariate Analysis (ST710)

ST775 Generalized Linear Models and Multilevel Models (ST765)

ST776 Bayesian Inference (ST765)

ST778 Time Series (ST710)

ST791 Special Topics in Statistics

ST792 Independent Study

Business Elective Courses

GB700 Ethics and Social Responsibility

GB733 Enterprise Systems

GB/DS739 Data Management and Database Systems

GB/DS736 Data Visualization for Decision Making (DS730 or permission of instructor)

GB852 Advanced Analytics

GB853 Social Media and Web Mining

GB735 Project Management
",Courses,
0031 [M] Master of Science in Health and Life Science Analytics.docx,"
GB700 Ethics and Social Responsibility
",Ethical issues,
0027 [D] Computational and Data Sciences.docx,"
Lewis University's online Graduate Certificate in Data Science program provides students with background and insight into the key mathematical and computer science issues involved in the analysis of big data sets
",Mission,
0027 [D] Computational and Data Sciences.docx,"
 background and insight into the key mathematical and computer science issues involved in the analysis of big data sets. 
",Skills,
0027 [D] Computational and Data Sciences.docx,"
professionals in nearly any industry can apply their unique skill set by collecting and interpreting large quantities of organizational data to develop effective solutions for distilling the information
",Impact,
0027 [D] Computational and Data Sciences.docx,"
Apply the tools of calculus, linear algebra, optimization, probability and statistics to identify likely characteristics and trends buried in large data sets so that reasonable conclusions about the data may be drawn.

Write software that implements the mathematical techniques required to extract meaning from large data sets, primarily using off-the-shelf mathematical software tools.

Choose large-scale data storage solutions that meet prescribed performance and storage requirements.

Develop appropriate querying mechanisms for asking questions about large data sets and obtaining answers of sufficient accuracy with reasonable investment of computing power.

Apply clustering algorithms to characterize large data sets in terms of subsets with similar properties.

Create and choose visualization approaches that clearly depict the characteristics of the data that need to be communicated for a particular purpose.

Evaluate and compare cloud-based solutions for storing large data sets in terms of performance, security, query mechanisms, software development and cost.

Choose appropriate data science techniques for solving problems in disciplines that produce accurate, timely insights from large quantities of data.
",Skills,
